area_id,education_high,education_secondary,education_primary
01,0.15917634574105935,0.6314508849047011,0.11113909213430723
02,0.03457618545837724,0.48195068493150683,0.388695468914647
04,0.04221752493225548,0.5371401585461635,0.29272702936816397
06,0.036954871609918935,0.6105605716849861,0.2587679752404038
08,0.030457814394356884,0.6327203653697785,0.25190813402402734
10,0.041070292392967896,0.5245552390178286,0.32544600293099923
11,0.041002222454826716,0.4357082522936561,0.41193309753728635
12,0.03361456728937574,0.39092279688308984,0.4521571219704395
14,0.03241301826534233,0.4913151477292181,0.39076790170205195
15,0.036158612679110594,0.6074364440929024,0.2668309535006223
17,0.032675743521309454,0.6329581898549508,0.24880940160571363
19,0.05890326641674203,0.6678405953571386,0.15956499567744584
20,0.031718688530078934,0.592334413111351,0.29038495341887854
22,0.06608949608949609,0.626960696960697,0.17436986436986437
24,0.029365957547640605,0.7146733569474971,0.19197769459605205
25,0.039849960981593546,0.7069515623975711,0.16764444667948422
26,0.0377045702474261,0.7221832573808749,0.1678435336847511
27,0.04571042883949688,0.7079307892608269,0.16731960385863262
30,0.034784490272674426,0.7764292192160211,0.12343844221702033
31,0.07667970136392997,0.717403503488748,0.11775702826616595
33,0.028038677315983584,0.7718112760269464,0.13511432790568143
34,0.02804701127492311,0.7602479595563764,0.1447614106113309
35,0.02846913052507439,0.7485694189908397,0.15268373207699898
36,0.029803805434219295,0.7465832531280077,0.16143481157918116
37,0.04082209308524817,0.7172122407634484,0.1441088660233513
38,0.03696119325705635,0.6939008652605302,0.19392255862677046
40,0.043455474603474285,0.7072038216230003,0.1675867742402876
42,0.03790600956539821,0.7192503639010189,0.16029839883551675
44,0.04381058325894759,0.6851756325778134,0.18629926840318117
45,0.05243947970354603,0.6163972345840074,0.25418739083601904
46,0.06512661552403877,0.5331497740142345,0.34613515276406853
48,0.1224508038388921,0.6268319111177002,0.16153629811151274
49,0.03092404851759529,0.6013243465303793,0.31008996086841484
51,0.03119633536193183,0.5835326907197456,0.32682971872034844
52,0.04139025459816345,0.6082311349036778,0.3143661917587116
54,0.03417818740399386,0.5738893406825095,0.3403692659859643
56,0.05178080542152165,0.6042893388367979,0.29780373560115936
58,0.03310259120581296,0.4866656425048552,0.4338853871217002
60,0.02416955478539056,0.5186169021594241,0.4191586243668355
62,0.04647855542319782,0.5754404101573775,0.31127565451482725
64,0.03448949101108866,0.6077744297849671,0.3083033424042142
66,0.032561698177519596,0.6547135739616649,0.26425530680474874
67,0.0275381351651682,0.6607334074148904,0.26491789294092555
68,0.043976582244033884,0.6697843787835377,0.23990876892474874
70,0.022990253754558966,0.6154995451040658,0.3226759620181905
72,0.022492264212007052,0.5328630800238829,0.41799210239331447
74,0.029580083492171148,0.7079209981641077,0.23039769870318183
75,0.03958745350274302,0.6683870198706433,0.25132056840920886
77,0.05569064988318314,0.5946272006422433,0.2871687740272931
79,0.10253159793104476,0.6549906580257217,0.19232013661314296
80,0.0203610909954554,0.5381103846809527,0.41481898095464287
82,0.02112422450596458,0.5444833123145558,0.40320888239888036
83,0.019525658785922877,0.49992325196762766,0.45102516184241326
84,0.02355198145182077,0.4891954034780401,0.4604639353070696
86,0.028014014365092117,0.5351750998529644,0.4086153763141533
87,0.02248790820520057,0.47908779197090473,0.47642508588024357
89,0.022872068350803857,0.4309171024531343,0.5255936369890682
91,0.022603995190766512,0.47558133365813343,0.4763083977017902
92,0.05459446214163195,0.5190954597962685,0.394427136206112
93,0.015851993760479615,0.49387468195974765,0.4708624667352471
94,0.01651968481472825,0.45819493776725845,0.5040122369661277
95,0.01615209637702764,0.4753757136074028,0.4899639469528826
96,0.02010090610244323,0.5105351280624043,0.45034953490162044
